ＯＮＥ　ＰＩＥＣＥ,https://img01.suumo.com/front/gazo/fr/bukken/798/100297111798/100297111798_gw.jpg,広島県東広島市高屋町白市,"['ＪＲ山陽本線/白市駅', 'バス10分', '(バス停)ネオポリス北', '歩10分']"
メルベーユ,https://img01.suumo.com/front/gazo/fr/bukken/625/100295753625/100295753625_gw.jpg,広島県東広島市高屋町高屋堀,"['ＪＲ山陽本線/西高屋駅', '歩31分', 'ＪＲ山陽本線/白市駅', '歩47分', 'ＪＲ山陽本線/入野駅', '歩73分']"
ＪＲ山陽本線 糸崎駅 2階建 築17年,https://img01.suumo.com/front/gazo/fr/bukken/070/100297133070/100297133070_gw.jpg,広島県三原市木原４,"['ＪＲ山陽本線/糸崎駅', '歩50分', 'ＪＲ山陽本線/尾道駅', '歩60分', 'ＪＲ山陽本線/三原駅', '歩80分']"
楓B,https://img01.suumo.com/front/gazo/fr/bukken/772/100206884772/100206884772_gw.jpg,広島県東広島市高屋町白市,"['ＪＲ山陽本線/白市駅', '歩20分', 'ＪＲ山陽本線/入野駅', '歩48分', 'ＪＲ山陽本線/西高屋駅', '歩53分']"
アザリーメゾン　壱番館,https://img01.suumo.com/front/gazo/fr/bukken/344/100290746344/100290746344_gw.jpg,広島県東広島市高屋町高屋堀,"['ＪＲ山陽本線/西高屋駅', 'バス15分', '(バス停)淨福寺下', '歩2分']"
アザリーメゾン　弐番館,https://img01.suumo.com/front/gazo/fr/bukken/719/100297111719/100297111719_gw.jpg,広島県東広島市高屋町高屋堀,"['ＪＲ山陽本線/西高屋駅', 'バス15分', '(バス停)淨福寺下', '歩2分']"
バービー・カール　Ｃ棟,https://img01.suumo.com/front/gazo/fr/bukken/118/100296594118/100296594118_gw.jpg,広島県東広島市高屋町高屋堀,"['ＪＲ山陽本線/西高屋駅', 'バス10分', '(バス停)高美が丘四丁目東', '歩3分']"
バービー・カール　A棟,https://img01.suumo.com/front/gazo/fr/bukken/945/100275625945/100275625945_gw.jpg,広島県東広島市高屋町高屋堀,"['ＪＲ山陽本線/西高屋駅', 'バス10分', '(バス停)高美が丘４丁目東バス', '歩3分', 'ＪＲ山陽本線/西条駅', '歩90分', 'ＪＲ山陽本線/白市駅', '車15分(4.4km)']"
バービー・カール　Ｂ棟,https://img01.suumo.com/front/gazo/fr/bukken/809/100297111809/100297111809_gw.jpg,広島県東広島市高屋町高屋堀,"['ＪＲ山陽本線/西高屋駅', 'バス9分', '(バス停)高美が丘四丁目東', '歩2分']"
ＪＲ山陽本線 本郷駅 2階建 築11年,https://img01.suumo.com/front/gazo/fr/bukken/074/100292093074/100292093074_gw.jpg,広島県三原市本郷町船木,"['ＪＲ山陽本線/本郷駅', '歩50分', 'ＪＲ山陽本線/河内駅', '歩115分', 'ＪＲ山陽本線/三原駅', '歩165分']"
ソル・サリエンテ　Ａ,https://img01.suumo.com/front/gazo/fr/bukken/943/100288745943/100288745943_gw.jpg,広島県三原市木原４,"['ＪＲ山陽本線/糸崎駅', 'バス10分', '(バス停)木原小下', '歩2分']"
セジュールシマダ　Ｂ棟,https://img01.suumo.com/front/gazo/fr/bukken/370/100285824370/100285824370_gw.jpg,広島県福山市高西町南,"['ＪＲ山陽本線/東尾道駅', '歩12分', 'ＪＲ山陽本線/松永駅', 'バス7分', '(バス停)高須農協前', '歩22分', 'ＪＲ山陽本線/尾道駅', 'バス20分', '(バス停)古島整形外科前', '歩8分']"
バービーカールＣ,https://img01.suumo.com/front/gazo/fr/bukken/817/100006378817/100006378817_gw.jpg,広島県東広島市高屋町高屋堀,"['ＪＲ山陽本線/西高屋駅', 'バス10分', '(バス停)高屋堀', '歩2分', 'ＪＲ山陽本線/白市駅', '歩50分', 'ＪＲ山陽本線/入野駅', '歩75分']"
ＪＲ山陽本線 大野浦駅 2階建 築12年,https://img01.suumo.com/front/gazo/fr/bukken/930/100294393930/100294393930_gw.jpg,広島県廿日市市林が原１,"['ＪＲ山陽本線/大野浦駅', '歩12分', 'ＪＲ山陽本線/宮内串戸駅', '車18分(11.0km)', 'ＪＲ山陽本線/五日市駅', '車23分(15.1km)']"
ＪＲ山陽本線 大野浦駅 2階建 築9年,https://img01.suumo.com/front/gazo/fr/bukken/081/100293519081/100293519081_gw.jpg,広島県廿日市市塩屋２,"['ＪＲ山陽本線/大野浦駅', '歩8分', 'バス（広島）/林が原', '歩7分', 'バス（広島）/青海苔', '歩8分']"
カーサプリートＡ,https://img01.suumo.com/front/gazo/fr/bukken/881/100295556881/100295556881_gw.jpg,広島県廿日市市丸石４,"['ＪＲ山陽本線/大野浦駅', '歩14分', 'ＪＲ山陽本線/前空駅', '歩54分', 'ＪＲ山陽本線/玖波駅', '歩54分']"
コンフォール　Ａ,https://img01.suumo.com/front/gazo/fr/bukken/412/100290746412/100290746412_gw.jpg,広島県東広島市高屋町宮領,"['ＪＲ山陽本線/西高屋駅', '歩18分']"
ビレッジハウス高美が丘タワー,https://img01.suumo.com/front/gazo/fr/bukken/082/100240867082/100240867082_gw.jpg,広島県東広島市高屋高美が丘５,"['ＪＲ山陽本線/西高屋駅', '歩24分', 'ＪＲ山陽本線/西条駅', '歩83分', 'ＪＲ山陽本線/白市駅', '車12分(5.5km)']"
シャルム西野,https://img01.suumo.com/front/gazo/fr/bukken/537/100255604537/100255604537_gw.jpg,広島県竹原市西野町,"['ＪＲ呉線/竹原駅', '歩93分', 'ＪＲ山陽本線/白市駅', '歩119分', 'ＪＲ山陽本線/入野駅', '歩140分']"
東広島市高屋町郷戸建て,https://img01.suumo.com/front/gazo/fr/bukken/590/100292395590/100292395590_gw.jpg,広島県東広島市高屋町郷,"['ＪＲ山陽本線/西高屋駅', '歩16分', 'ＪＲ山陽本線/白市駅', '歩48分', 'ＪＲ山陽本線/西条駅', '歩78分']"
メゾンひまわり,https://img01.suumo.com/front/gazo/fr/bukken/340/100281725340/100281725340_gw.jpg,広島県尾道市高須町,"['ＪＲ山陽本線/東尾道駅', '歩2分', 'ＪＲ山陽本線/松永駅', 'バス7分', '(バス停)高須農協前', '歩8分', 'ＪＲ山陽本線/尾道駅', 'バス19分', '(バス停)東尾道駅', '歩2分']"
ハイツ筒尾,https://img01.suumo.com/front/gazo/fr/bukken/129/100271249129/100271249129_gw.jpg,広島県廿日市市塩屋２,"['ＪＲ山陽本線/大野浦駅', '歩3分', 'ＪＲ山陽本線/前空駅', '歩46分', 'ＪＲ山陽本線/玖波駅', '歩63分']"
シティハイム三宅I,https://img01.suumo.com/front/gazo/fr/bukken/162/100281696162/100281696162_gw.jpg,広島県東広島市高屋町中島,"['ＪＲ山陽本線/西高屋駅', '歩9分', 'ＪＲ山陽本線/白市駅', '歩51分', 'ＪＲ山陽本線/西条駅', '車13分(5.0km)']"
ブルック・阿戸Ｃ,https://img01.suumo.com/front/gazo/fr/bukken/736/100296418736/100296418736_gw.jpg,広島県広島市安芸区阿戸町,"['ＪＲ山陽本線/瀬野駅', 'バス24分', '(バス停)阿戸', '歩1分']"
アイリス　Ｂ,https://img01.suumo.com/front/gazo/fr/bukken/610/100185372610/100185372610_gw.jpg,広島県安芸郡海田町国信１,"['ＪＲ山陽本線/安芸中野駅', '歩20分', 'ＪＲ山陽本線/海田市駅', 'バス10分', '(バス停)国信橋', '歩2分', 'ＪＲ山陽本線/中野東駅', '歩40分']"
VULLUNO～ヴリューノ～,https://img01.suumo.com/front/gazo/fr/bukken/272/100278939272/100278939272_gw.jpg,広島県東広島市高屋町高屋堀,"['ＪＲ山陽本線/西高屋駅', '車5分(2.6km)', 'ＪＲ山陽本線/白市駅', '車7分(4.7km)', 'ＪＲ山陽本線/西条駅', '車13分(8.0km)']"
寺家駅前レジデンスICZ,https://img01.suumo.com/front/gazo/fr/bukken/423/100297237423/100297237423_gw.jpg,広島県東広島市寺家駅前,"['ＪＲ山陽本線/寺家駅', '歩3分', 'ＪＲ山陽本線/西条駅', '歩28分', 'ＪＲ山陽本線/八本松駅', '歩51分']"
ＪＲ山陽本線 向洋駅 2階建 築8年,https://img01.suumo.com/front/gazo/fr/bukken/187/100166004187/100166004187_gw.jpg,広島県安芸郡府中町青崎東,"['ＪＲ山陽本線/向洋駅', '歩15分', 'ＪＲ山陽本線/海田市駅', '歩24分', 'ＪＲ山陽本線/天神川駅', '歩37分']"
シティプラザ府中南,https://img01.suumo.com/front/gazo/fr/bukken/337/100205356337/100205356337_gw.jpg,広島県安芸郡府中町青崎東,"['ＪＲ山陽本線/向洋駅', '歩15分', 'ＪＲ呉線/向洋駅', '歩15分', 'ＪＲ山陽本線/海田市駅', '歩20分']"
若草コーポ山縣,https://img01.suumo.com/front/gazo/fr/bukken/734/100297256734/100297256734_gw.jpg,広島県広島市安芸区中野４,"['ＪＲ山陽本線/中野東駅', '歩4分', 'ＪＲ山陽本線/海田市駅', 'バス15分', '(バス停)平原橋', '歩7分', 'ＪＲ山陽本線/安芸中野駅', '歩26分']"
